School|Prof Name|Course Name|Course ID
SOSS|David Ocon|Art History: From the Beginnings to the Revolutions|ACM101
SOSS|Kwok Kian Chow|Art in Southeast Asia|ACM208
SOSS|David Ocon|Arts and Cultural Marketing|ACM212
SOSS|David Ocon|Understanding Cultural Cooperation in Asia|ACM213
SOSS|Kwok Kian Chow|Exhibitions and Curating|ACM304
SOSS|Hoe Su Fern|Arts, Culture and the Global City|ACM306
SOSS|Eleanor Tan|Music: East and West|MUSC001
SOSS|Charlotte Setijadi|Exploring Asian Identities|GA001
SOSS|Brenda Chan|Popular Culture in Asia|GA201
SOSS|Charlotte Setijadi|History of Southeast Asia|GA203
SOSS|Charlotte Setijadi|Managing Diversity in Asia|GA205
SOSS|Margaret Chan|Cultural Identities and the Art|HUMN004
SOSS|Ishani Mukherjee|Public Sector Management|PPPM101
SOSS|Ishani Mukherjee|Policy Design and Analysis|PPPM106
SOSS|Ryan Merrill|Environmental Politics and Policy|PPPM201
SOSS|John Donaldson|Public Policy Task Force|PPPM301
SOSS|Stephanie Burridge|Dance: East and West|FNAR001
SOSS|Francois Bretault|French|FNCH201
SOSS|Siri Ramaswami|A Cultural Introduction to India: From Indus Valley to Infosys|HUMN017
SOSS|Aidan Wong|Singapore: Imagining the Next Fifty Years|HUMN020
SOSS|Darlene Espena|Film in Southeast Asia|HUMN022
SOSS|Aidan Wong|Urban Cultures|IDIS003
SOSS|Matthew Hammerton|Big Questions (Happiness and Suffering)|IDIS004
SOSS|Orlando Woods|Big Questions (Happiness and Suffering)|IDIS004
SOSS|Darlene Espena|Big Questions (Happiness and Suffering)|IDIS004
SOSS|Elvin Lim|Big Questions (Happiness and Suffering)|IDIS004
SOSS|Fiona Williamson|Science, Environment and Empire|IDIS005
SOSS|Orlando Woods|Digital Cultures|IDIS006
SOSS|Fiona Williamson|Climate, History and Society|IDIS007
SOSS|Darlene Espena|Cultural History of the Cold War in Asia|IDIS008
SOSS|Thomas Ewing|Intellectual Assets, Technology and Society|IDIS009
SOSS|Henrik Olsson|Intellectual Assets, Technology and Society|IDIS009
SOSS|Thomas Menkhoff|Understanding Drone & Robotic Technology - History, Usage, Ethics & Legal Issues|IDIS103
SOSS|Kan Siew Ning|Understanding Drone & Robotic Technology - History, Usage, Ethics & Legal Issues|IDIS103
SOSS|Eugene Tan|Understanding Drone & Robotic Technology - History, Usage, Ethics & Legal Issues|IDIS103
SOSS|Francesca Benvenuti|Italian|ITAL201
SOSS|Yoko Morikawa|Japanese|JPAN201
SOSS|Seo Ji Yun|Korean|KREA201
SOSS|Wang Shengyu|Mandarin|MAND201
